sample_name,KLHL5,BLNK,SOX4,UBE2S,S100P,DEFB132,COLEC12,MICB,EIF4E3,GNS,ARF1,FBXL16,CFB,SOD2,TRIM45,MTHFD1,MDK,CEBPD,STAT5A,ACO1,TF
GSM1045293,4.512713,7.577609,7.991025,5.942605,8.846424,2.829022,6.413919,6.212036,4.007598,6.300495,6.8007,5.952673,6.107276,7.067628,5.911492,6.730733,5.921605,6.397535,5.660763,5.126562,4.896692
GSM1045294,4.76481,5.846509,8.073401,4.581945,5.190067,2.706987,8.505951,4.542559,3.903908,5.793202,6.712314,5.386589,4.319582,5.31248,7.13384,7.95423,6.619277,5.544062,6.26388,4.687059,5.489478
GSM1045295,5.009703,6.326728,7.829779,4.992007,9.589124,4.211619,6.22467,5.786027,5.061139,6.608123,6.475338,6.085107,7.129027,6.902501,7.193559,7.383098,7.633714,6.152641,6.988659,5.438317,4.783587
GSM1045296,5.651109,4.861991,7.781284,7.54135,8.702717,2.690897,5.083015,6.579999,4.769197,6.313854,7.04413,5.154854,5.009409,5.575731,6.034782,7.613652,7.603102,5.343754,6.420591,4.679875,4.686374
GSM1045297,4.677834,6.419839,5.840828,6.48145,4.699805,2.784893,4.584991,6.887429,5.002491,6.633777,6.716413,6.301542,7.309852,6.945496,6.339702,7.916104,6.932955,5.51056,6.382098,5.325894,3.693472
GSM1045298,5.778621,7.619389,7.58714,5.595805,4.535392,2.798755,6.103304,8.820871,5.246743,7.452248,6.793769,4.57953,8.402006,8.042954,4.898991,8.004047,6.920944,6.441894,8.104087,5.57053,5.1608
GSM1045299,5.434982,7.487047,7.307948,5.301543,8.909294,3.048092,8.501418,6.90665,4.547711,6.550633,6.197282,6.577599,7.761405,5.888903,6.723856,7.327549,5.639797,6.422353,6.44529,4.689927,3.987282
GSM1045300,3.687226,6.561564,7.613321,5.630146,8.842499,3.071375,5.992122,7.792274,4.703889,6.169206,7.461985,5.587337,7.419455,4.173332,6.622832,7.32913,6.033882,5.898613,6.617559,4.621427,4.295836
GSM1045301,5.355589,6.947997,6.67528,3.995283,6.485909,3.634601,5.509889,6.139384,4.447389,5.896292,6.406474,5.445763,6.771001,6.843063,6.264846,6.970328,5.894713,6.105952,6.613576,5.537424,5.207933
GSM1045302,3.766815,3.436055,7.685606,4.628403,7.730658,3.015358,6.684085,6.186119,3.75426,5.072203,7.362863,4.968077,6.178214,7.180359,5.009614,6.003064,5.550398,6.273948,5.682018,4.83491,4.191636
GSM1045303,5.228135,6.241289,8.029263,6.686465,6.285497,2.892083,9.510263,7.720021,4.765673,6.324297,6.609285,5.04428,5.967808,4.879871,6.917238,7.100034,7.15169,5.671336,6.53452,4.86123,4.525052
GSM1045304,5.05121,8.335121,7.620586,6.952777,6.035035,2.888519,7.834603,7.524671,4.639413,7.358674,6.369255,5.763307,6.513816,6.217069,6.908344,7.45387,8.92953,6.582274,6.675908,5.020064,4.136891
GSM1045305,4.361465,6.593723,7.627017,6.661898,5.256042,3.363327,4.607036,6.590891,4.693304,6.32148,7.140216,5.19597,8.383634,4.964414,6.050697,7.708973,6.675078,6.398592,5.943554,5.109236,3.787118
GSM1045306,4.897295,6.814447,7.800828,5.408661,10.257752,2.807869,4.760469,5.738961,4.814456,7.04628,6.617599,4.658448,6.081849,7.434215,5.489076,6.52899,9.276932,5.257169,6.620836,4.95003,4.019078
GSM1045307,5.314436,7.249819,8.136642,5.353391,7.812534,2.843399,6.603105,5.113089,5.160334,6.839905,6.169846,5.264395,6.837264,6.893373,6.263077,7.568942,7.010222,6.993945,7.137046,5.203403,5.158531
GSM1045308,5.696387,5.722825,8.053191,4.538992,9.702065,2.795955,6.742935,5.890511,5.155777,6.388202,7.20749,5.862466,7.46476,6.190846,7.257194,7.123962,7.494915,6.225482,7.16247,5.127605,4.364584
GSM1045309,4.093304,6.844991,7.571158,4.286536,6.898026,2.997891,6.319163,7.052636,4.577198,6.250751,7.000648,5.642183,8.028844,4.700003,6.385612,7.657855,5.1008,5.513348,6.858691,5.042086,4.595683
GSM1045310,4.948035,5.083508,7.607175,5.416381,11.323079,2.875505,8.223128,5.365579,5.302137,7.337148,6.952223,6.370096,6.667033,5.406449,7.190502,8.576726,6.484552,7.949956,6.958527,4.999178,3.902296
GSM1045311,6.579429,6.879163,7.864166,5.775663,9.374094,2.815343,6.70673,5.509765,4.986102,6.931733,6.914084,5.84713,7.145095,7.106958,6.954893,7.627725,7.000758,6.939522,6.774805,4.704057,4.997303
